Subject_area	Student_teaching_region	COEFFIN
4	1	15.16455892
4	1	23.3370432014
8	1	1.801117084
1	1	25.882294131
1	1	3.365516809
1	1	3.365516809
1	1	3.365516809
1	1	16.7190189866
1	1	3.365516809
1	1	21.67236267
1	1	21.67236267
1	1	21.67236267
1	1	21.67236267
1	1	21.67236267
1	1	21.67236267
1	1	21.67236267
1	1	21.67236267
1	1	21.67236267
1	1	21.67236267
1	1	21.67236267
9	1	10.0312292143
1	1	21.67236267
2	1	11.7426422
2	1	10.1104059
2	1	10.1104059
2	1	10.1104059
2	1	10.1104059
2	1	11.7426422
2	1	11.7426422
4	1	10.6793203661
4	1	9.624568805
3	1	14.93287765
3	1	14.36373365
3	1	14.93287765
3	1	14.93287765
3	1	14.36373365
3	1	14.36373365
3	1	14.93287765
4	1	4.6873964851
4	1	4.0649401596
2	1	10.71125495
2	1	10.94736943
2	1	10.71125495
2	1	10.71125495
2	1	10.71125495
2	1	10.71125495
2	1	10.71125495
2	1	10.94736943
4	1	13.70609096
4	1	13.70609096
4	1	13.70609096
8	1	1.925187937
8	1	1.925187937
8	1	1.143634247
8	1	6.8985901076
8	1	1.801117084
8	1	1.801117084
8	1	1.890256524
8	1	1.890256524
8	1	2.009112165
8	1	2.009112165
8	1	1.890256524
8	1	2.009112165
8	1	1.890256524
8	1	2.009112165
8	1	9.3903066031
8	1	2.009112165
8	1	1.890256524
8	1	2.009112165
8	1	2.009112165
8	1	1.890256524
1	1	19.44560067
1	1	19.44560067
1	1	19.44560067
1	1	19.44560067
1	1	12.3471456
1	1	20.10918339
1	1	20.10918339
1	1	20.10918339
1	1	20.10918339
1	1	20.10918339
1	1	20.10918339
1	1	20.10918339
1	1	35.7994166654
1	1	20.10918339
1	1	45.7362031032
1	1	45.7362031032
1	1	50.58271785
5	1	8.6935483871
5	1	10.42586005
5	1	10.42586005
5	1	10.45931196
5	1	10.45931196
5	1	10.45931196
5	1	10.45931196
5	1	10.45931196
5	1	10.42586005
5	1	10.42586005
5	1	10.42586005
5	1	10.42586005
5	1	10.45931196
5	1	10.45931196
5	1	10.45931196
5	1	10.42586005
5	1	10.45931196
5	1	10.42586005
5	1	10.45931196
1	1	29.8108503994
1	1	29.8108503994
1	1	53.4996843867
3	1	20.87777301
3	1	20.87777301
3	1	20.2236505
3	1	5.450898227
3	1	18.36053084
3	1	20.2236505
3	1	10.0942559759
4	1	6.862824693
4	1	6.862824693
4	1	3.704813484
4	1	6.862824693
4	1	6.862824693
4	1	1.8491881889
4	1	6.862824693
4	1	6.862824693
4	1	6.862824693
4	1	18.52406742
4	1	3.704813484
4	1	3.940497533
1	1	15.70663386
1	1	15.70663386
1	1	28.78524093
1	1	15.70663386
3	1	18.36053084
3	1	18.36053084
3	1	20.2236505
3	1	20.2236505
3	1	20.2236505
3	1	18.36053084
3	1	18.36053084
4	1	39.03583846
1	1	52.48980942
1	1	15.13155006
1	1	15.13155006
1	1	52.48980942
1	1	15.13155006
1	1	15.13155006
1	1	52.48980942
1	1	22.3340613946
1	1	17.03674208
1	1	17.03674208
1	1	5.208338428
1	1	17.03674208
1	1	17.03674208
1	1	17.03674208
1	1	17.03674208
1	1	8.5035703889
1	1	17.03674208
1	1	5.208338428
1	1	17.03674208
1	1	17.03674208
1	1	22.3340613946
1	1	8.5035703889
3	1	2.985404595
3	1	20.87777301
3	1	20.87777301
3	1	12.801819704
3	1	20.87777301
4	1	12.38590164
4	1	12.38590164
4	1	34.7115841596
4	1	12.38590164
4	1	12.38590164
4	1	6.5272588759
4	1	13.07723943
4	1	13.07723943
4	1	13.07723943
4	1	13.07723943
4	1	13.07723943
4	1	13.07723943
4	1	13.07723943
1	1	39.412577225
1	1	11.47632061
1	1	5.0616372142
1	1	11.47632061
4	1	1.06208575
4	1	3.940497533
4	1	3.445699433
4	1	3.445699433
4	1	17.228497165
4	1	3.445699433
4	1	3.445699433
1	1	38.54448307
1	1	13.56256456
1	1	13.56256456
1	1	13.56256456
1	1	13.56256456
1	1	38.54448307
1	1	13.56256456
1	1	13.56256456
1	1	13.56256456
4	1	13.2501663642
4	1	7.358432126
4	1	41.7594672347
4	1	9.738373782
4	1	7.358432126
4	1	36.79216063
2	1	12.69905787
2	1	3.422788188
2	1	12.69905787
2	1	5.9969545413
2	1	13.59697862
2	1	13.59697862
2	1	13.59697862
2	1	12.69905787
2	1	13.59697862
2	1	6.3384966444
2	1	13.59697862
2	1	5.9969545413
2	1	12.69905787
2	1	3.422788188
2	1	12.69905787
2	1	13.59697862
2	1	12.69905787
2	1	12.69905787
2	1	13.59697862
2	1	12.69905787
2	1	13.59697862
2	1	12.69905787
2	1	12.69905787
2	1	13.59697862
2	1	13.59697862
2	1	13.59697862
2	1	13.59697862
2	1	13.59697862
2	1	13.59697862
2	1	13.59697862
2	1	12.69905787
2	1	12.69905787
2	1	13.59697862
2	1	13.59697862
2	1	12.69905787
2	1	12.69905787
2	1	12.69905787
2	1	12.69905787
2	1	12.69905787
2	1	13.59697862
2	1	12.69905787
2	1	13.59697862
2	1	12.69905787
2	1	12.69905787
2	1	12.69905787
2	1	12.69905787
2	1	12.69905787
2	1	12.69905787
2	1	12.69905787
2	1	13.59697862
2	1	13.59697862
2	1	12.69905787
2	1	13.59697862
2	1	12.69905787
2	1	13.59697862
2	1	13.59697862
2	1	13.59697862
2	1	12.69905787
2	1	13.59697862
2	1	13.59697862
2	1	12.69905787
2	1	13.59697862
2	1	12.69905787
2	1	12.69905787
2	1	13.59697862
2	1	12.69905787
2	1	12.04991988
2	1	12.24068818
2	1	5.3987619338
2	1	12.04991988
2	1	12.04991988
4	1	11.65060378
4	1	11.65060378
4	1	11.65060378
4	1	21.2026868155
4	1	11.65060378
4	1	10.3333176
4	1	13.70609096
4	1	10.3333176
4	1	13.70609096
4	1	13.70609096
4	1	13.70609096
5	1	5.573907946
5	1	5.529702128
5	1	23.9016730566
5	1	23.9016730566
5	1	5.573907946
5	1	5.529702128
5	1	27.64851064
5	1	5.529702128
